SystemSize,GroundStateEnergy,ExcitedStateEnergy_1,ExcitedStateEnergy_2,ExcitedStateEnergy_3,ExcitedStateEnergy_4
2.0,-1.9999999999999996,-1.0000000000000004,-1.0000000000000144,-1.0,1.0
6.0,-7.370274969424609,-7.0624894105961555,-7.06248941071976,-7.062489410772261,-6.018533397445037
10.0,-12.89456012878918,-12.756229194494853,-12.75622919340673,-12.756229194493743,-11.990726051342001
14.0,-18.459852574202593,-18.390687446783396,-18.390687424441982,-18.3906873654587,-17.751875887142635
18.0,-24.043879070612245,-24.00815186395608,-24.008151505632597,-24.00815154054281,-23.4388398792003
22.0,-29.63788838981389,-29.619300884477486,-29.61930028525594,-29.61929957625771,-29.09241989218233
26.0,-35.237400993339364,-35.22774073654249,-35.227738048769965,-35.227740716630834,-34.72864375581749
30.0,-40.83992467475172,-40.83491914045723,-40.83491482348827,-40.83491912975898,-40.354950208290525
34.0,-46.44406776465357,-46.441482514506454,-46.44148020031902,-46.44147642634243,-45.97524361761094
38.0,-52.04906851205258,-52.04773833440336,-52.04773574870337,-52.04773033355437,-51.591619337536756
42.0,-57.65451853914149,-57.65383823176698,-57.65382822401402,-57.653838026572664,-57.20537832794381
46.0,-63.2602022811659,-63.259858450301245,-63.25985195900914,-62.817319030660016,-63.25984686294142
50.0,-68.86600702309326,-68.86583787265921,-68.86582411462327,-68.86583665599463,-68.42795911215633
54.0,-74.47179699895484,-74.47183942363534,-74.47184259108118,-74.47179978382337,-74.03764550734525
