SystemSize,GroundStateEnergy,ExcitedStateEnergy_1,ExcitedStateEnergy_2,ExcitedStateEnergy_3
2.0,-0.75,0.25000000000000006,0.2499999999999999,0.2500000000000284
6.0,-2.4935771338879245,-2.0019953568985334,-2.0019953568985316,-2.001995356898531
10.0,-4.258035206805542,-3.93067358936195,-3.9306735894067995,-3.930673589062005
14.0,-6.0267246600973365,-5.780492602711436,-5.780492602644864,-5.780492602342359
18.0,-7.797011065512029,-7.599284880802778,-7.599284880773267,-7.599284881990397
22.0,-9.568075872760753,-9.402679446977281,-9.402679446970884,-9.402679447434533
26.0,-11.339579647208454,-11.197303439529728,-11.197303439625731,-11.197303439406122
30.0,-13.11135575203775,-12.986451435800193,-12.986451435740644,-12.986451435833237
34.0,-14.883312626507745,-14.771948206394562,-14.771948206022167,-14.771948206783687
38.0,-16.655395723684297,-16.554887030732793,-16.55488703114872,-16.554887031103387
42.0,-18.42757048968815,-18.335963304235268,-18.33596330489512,-18.335963305475754
46.0,-20.199813959528218,-20.115640694195676,-20.115640693244657,-20.11564069365731
