SystemSize,EntanglementEntropy
2,0.268891709197949
4,0.3938562337605737
6,0.47606013633862954
8,0.538357966834568
10,0.5871301268188928
12,0.6249231363556759
14,0.653424004209853
16,0.6742495666744319
18,0.689020925695302
20,0.6992372582251104
22,0.7061631126978671
24,0.7107873438587661
26,0.7138403125664796
28,0.7158395741072953
30,0.7171412245920001
32,0.7179851494092607
34,0.7185307029453223
36,0.7188823597234945
38,0.7191083770234213
40,0.7192484794197515
42,0.7193296284358441
44,0.7193653386791954
46,0.7192752486171734
48,0.7190531352097828
50,0.7183839514907916
